Product_ID,Store_Admin_ID,Product_Category,Product_Name,Product_Price,Discount_Offered,Stock_Availability,Reorder_Threshold,Average_Daily_Sales,Days_of_Stock_Left,Competitor_Price,Customer_Interest_Score,Historical_Discount_Impact,Seasonality_Flag,Day_of_Week,Festive_Season
P1000,SA11,Books,Science Book,190.4,31,402,128,10,4,440.78,32,1.841325894,1,Monday,1
P1001,SA20,Sports,Football,475.6,38,345,31,6,45,122.16,34,0.693122597,1,Thursday,0
P1002,SA12,Electronics,Headphones,367.34,48,450,167,15,11,454.31,92,0.99514927,1,Saturday,0
P1003,SA14,Clothing,Jacket,301.34,31,146,47,11,29,297.98,95,0.982374147,0,Sunday,0
P1004,SA15,Sports,Basketball,82.23,3,147,118,5,36,178.36,72,0.638435879,0,Wednesday,0
P1005,SA8,Clothing,Jeans,82.22,29,351,60,1,25,355.55,39,1.221718091,0,Thursday,1
P1006,SA5,Home Appliances,Microwave,33.75,36,198,191,8,21,243.43,26,1.531677076,0,Friday,0
P1007,SA11,Electronics,Laptop,433.76,22,307,17,12,36,192.1,34,1.26748552,0,Saturday,0
P1008,SA7,Home Appliances,Vacuum Cleaner,302.55,38,488,36,12,10,354.02,54,0.735466524,0,Monday,1
P1009,SA4,Books,Biography,355.5,44,416,36,5,37,128.12,3,1.065928948,0,Monday,0
P1010,SA12,Sports,Tennis Racket,15.19,14,423,30,7,9,168.48,50,0.503892537,0,Friday,0
P1011,SA20,Beauty,Lipstick,485.11,42,127,39,4,24,220.05,12,1.802451661,1,Friday,0
P1012,SA14,Electronics,Laptop,417.06,28,38,106,6,35,130.57,65,0.626775512,1,Wednesday,0
P1013,SA8,Beauty,Shampoo,110.11,35,337,37,13,49,205.58,54,1.395917123,0,Sunday,0
P1014,SA18,Books,Science Book,95,12,359,120,15,35,287.88,5,1.979385494,0,Monday,0
P1015,SA12,Home Appliances,Vacuum Cleaner,95.79,31,128,70,3,48,371.78,94,1.304885969,1,Saturday,1
P1016,SA18,Books,Mystery Book,155.6,6,266,57,8,36,384.76,94,1.886062639,0,Thursday,1
P1017,SA2,Home Appliances,Washing Machine,264.75,21,475,156,16,18,412.28,57,0.8541748,0,Saturday,0
P1018,SA14,Books,Biography,218.81,27,440,13,13,49,373.38,17,1.639933113,0,Tuesday,0
P1019,SA10,Toys,Action Figure,149.16,1,472,44,18,39,342.11,47,1.296898631,1,Tuesday,1
