product_id,seller_id,product_name,product_category,stock_quantity,price,quantity_sold,trend_score,days_in_inventory,sales_revenue,reorder_threshold,competitor_price,profit_margin,customer_purchase_frequency
P1628,S915,Smartwatch,Accessories,67,1435.11,45,65.13,91,64579.95,11,1659.34,397.28,9
P9358,S981,Headphones,Electronics,317,1575.15,244,55.0,236,384336.6,125,1513.37,540.39,9
P8464,S684,Smartwatch,Gadgets,243,1580.43,275,92.15,85,434618.25,80,1506.87,255.6,1
P1005,S719,Camera,Gadgets,326,843.61,173,19.07,110,145944.53,112,817.36,90.21,4
P9049,S283,Headphones,Electronics,456,1572.26,149,36.19,355,234266.74,94,1604.98,230.8,12
P8291,S652,Smartwatch,Gadgets,371,410.04,177,71.31,85,72577.08,129,474.46,154.54,15
P5653,S511,Camera,Electronics,196,989.47,50,34.2,352,49473.5,28,943.49,332.03,15
P2012,S502,Smartphone,Accessories,104,179.29,272,90.47,50,48766.88,48,163.33,51.02,18
P8645,S248,Camera,Gadgets,362,1505.16,297,56.6,305,447032.52,105,1745.99,473.95,14
P6069,S487,Headphones,Wearable Tech,34,1269.69,235,8.17,133,298377.15,6,1401.12,146.46,16
P3974,S260,Headphones,Accessories,479,1354.97,105,98.6,324,142271.85,56,1612.42,479.62,20
P7616,S478,Tablet,Electronics,241,1717.97,222,39.29,21,381389.34,25,1884.88,446.97,6
P2352,S884,Tablet,Electronics,478,1535.67,265,86.83,165,406952.55,200,1517.24,311.88,20
P9133,S246,Smartwatch,Wearable Tech,407,356.4,296,23.29,130,105494.4,148,395.7,119.45,10
P2781,S566,Smartwatch,Accessories,289,1375.23,191,59.22,294,262668.93,119,1479.4,207.78,9
P7859,S837,Smartphone,Wearable Tech,7,1845.56,200,76.45,33,369112.0,1,1993.15,341.78,5
P2460,S430,Headphones,Gadgets,332,1200.94,43,87.26,23,51640.42,141,1109.19,439.89,13
P1687,S737,Headphones,Accessories,295,334.97,1,77.95,325,334.97,136,314.5,63.2,13
P8633,S887,Smartwatch,Accessories,219,616.05,272,61.81,247,167565.6,82,720.17,171.12,4
P2807,S212,Smartwatch,Accessories,7,1760.37,76,30.85,336,133788.12,0,2043.47,361.34,11
P1277,S652,Camera,Wearable Tech,234,1303.69,195,19.84,42,254219.55,84,1490.91,197.99,15
P1271,S468,Tablet,Gadgets,309,929.63,11,48.04,19,10225.93,70,965.07,358.34,5
P1489,S908,Camera,Gadgets,86,449.3,195,61.85,194,87613.5,38,474.07,110.88,5
P4250,S984,Headphones,Electronics,166,659.85,276,50.32,98,182118.6,78,719.86,148.36,20
P6993,S464,Tablet,Electronics,460,212.86,243,7.14,30,51724.98,171,217.93,75.88,20
P3909,S162,Tablet,Wearable Tech,198,1768.72,259,94.5,15,458098.48,74,1666.22,569.4,8
P5872,S828,Camera,Wearable Tech,268,1782.16,44,72.23,248,78415.04,47,2133.81,286.88,5
P9396,S688,Headphones,Electronics,106,1781.98,155,45.39,316,276206.9,21,2010.46,341.45,1
P1686,S172,Camera,Wearable Tech,355,405.15,70,31.59,204,28360.5,47,428.56,78.95,6
P7151,S311,Laptop,Wearable Tech,32,993.22,64,94.76,314,63566.08,5,955.22,370.95,4
P8676,S492,Smartwatch,Gadgets,226,839.51,96,62.61,139,80592.96,41,822.49,144.92,2
P5001,S439,Camera,Wearable Tech,56,203.0,16,97.94,66,3248.0,7,227.67,44.45,9
P5774,S993,Tablet,Accessories,208,1355.28,89,5.01,38,120619.92,35,1279.47,393.97,10
P7448,S868,Camera,Electronics,59,730.7,45,33.86,64,32881.5,27,808.58,278.08,19
P6954,S923,Tablet,Wearable Tech,447,1838.24,135,82.67,125,248162.4,221,2126.37,469.8,13
P2572,S905,Headphones,Electronics,206,81.42,298,96.0,293,24263.16,97,83.27,21.32,8
P9372,S908,Camera,Gadgets,122,1312.16,234,20.51,178,307045.44,49,1358.04,404.18,8
P9512,S505,Smartwatch,Accessories,244,409.02,99,70.27,247,40492.98,113,406.42,121.1,13
P1963,S967,Headphones,Accessories,463,1190.19,154,63.5,110,183289.26,54,1326.0,228.57,14
P6664,S651,Smartphone,Wearable Tech,471,779.58,21,24.55,108,16371.18,119,755.75,90.65,9
P1006,S631,Camera,Wearable Tech,162,349.72,29,58.42,2,10141.88,41,414.22,127.18,14
P2534,S861,Smartwatch,Electronics,411,1875.86,297,71.84,159,557130.42,182,1983.09,698.25,9
P9059,S714,Tablet,Gadgets,342,570.63,277,64.02,233,158064.51,47,576.34,216.45,8
P6199,S888,Camera,Accessories,464,869.03,61,18.76,125,53010.83,58,788.3,141.34,6
P7366,S309,Smartphone,Electronics,114,573.94,206,46.01,148,118231.64,53,584.69,225.58,7
P6822,S288,Smartwatch,Accessories,486,1404.28,199,48.27,142,279451.72,116,1659.75,461.17,9
P6382,S892,Smartphone,Accessories,373,1410.68,262,6.03,336,369598.16,93,1283.61,303.89,10
P8001,S914,Smartwatch,Electronics,28,1678.92,5,45.16,234,8394.6,2,1511.89,668.52,14
P2760,S488,Camera,Gadgets,462,1400.46,190,6.78,224,266087.4,131,1546.46,451.26,19
P9644,S858,Headphones,Gadgets,373,1653.92,135,48.56,44,223279.2,168,1933.22,234.81,19
P6165,S176,Laptop,Accessories,218,876.21,79,45.42,4,69220.59,80,826.73,228.87,7
P3739,S804,Tablet,Accessories,358,98.29,61,36.87,28,5995.69,85,94.83,27.72,11
